0.000200,0.988912
0.101063,0.933648
0.000033,0.991617
0.003970,0.973569
0.110589,0.893010
0.000420,0.974271
0.000104,0.982379
0.000092,0.980957
0.000545,0.982786
0.005221,0.981625
0.053282,0.889256
0.000292,0.977155
0.000833,0.972271
0.000012,0.965212
0.000055,0.957475
0.000011,0.945426
0.002546,0.922217
0.000334,0.907559
0.007271,0.906968
0.018912,0.855642
0.050465,0.829932
0.000629,0.842943
0.001800,0.855966
0.028270,0.841029
0.041360,0.779937
0.530507,0.654653
0.017657,0.686438
0.734671,0.346976
0.071873,0.591935
0.036346,0.526466
0.715560,0.436815
0.125672,0.452406
0.088256,0.339795
0.001731,0.144591
0.030015,0.083594
0.005375,0.062780
0.022962,0.087354
0.007419,0.220876
0.007526,0.125496
0.083019,0.076366
0.074773,0.087867
0.128735,0.027002
0.002623,0.107507
0.001472,0.197850
0.000683,0.109175
0.002104,0.041788
0.047704,0.212528
0.092297,0.028444
0.002794,0.133631
0.012383,0.093933
0.000655,0.211409
0.000112,0.084804
0.014519,0.078201
0.075454,0.321568
0.071341,0.799697
0.182808,0.757880
0.214842,0.869616
0.320815,0.685453
0.458704,0.710761
0.108401,0.767300
0.461510,0.509193
0.258283,0.919131
0.666547,0.903120
0.268612,0.911212
0.009858,0.835158
0.180807,0.735195
0.452266,0.555136
0.030221,0.921034
0.784541,0.851871
1.079013,0.874502
0.725040,0.887976
0.978367,0.807977
0.243540,0.728170
0.237354,0.669286
2.142164,0.241968
0.262988,0.623104
0.603572,0.681097
0.633625,0.628702
1.079599,inf
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
